Index,Date_P##,Power1,Power2,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five,Thirty,BC10,BC11,BC12,BC13,BC14,BC15,BC16,BC17,BC18
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0406_P12,-10,0,-10,-10,-10,0,-10,0,NA,0,-10,-20,-10,0,-5,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,107,126,177,257,254,132,192,380,NA,490,168,163,186,158,236,,,,,,,,,,,,,,
OP End Frame,,1100,800,3000,3000,2000,1800,1800,1400,NA,2500,1900,2000,1500,3300,1750,,,,,,,,,,,,,,
MA Peak Threshold,,70,70,70,70,70,75,70,70,NA,80,70,60,70,80,70,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,999,976,640,1360,1422,1015,569,650,NA,710,986,735,695,677,766,,,,,,,,,,,,,,
,,Power1 - L,Power2 - R,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0406_P13,-25,-10,-10,-10,-10,-10,-18,-15,-15,-10,-10,-15,-20,-18,-15,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,99,59,150,277,271,180,274,162,143,97,133,178,152,113,179,,,,,,,,,,,,,,
OP End Frame,,1200,800,3000,2300,3000,1800,1900,1650,1750,730,1500,2200,1400,1400,1650,,,,,,,,,,,,,,
